legislator_name,bioguide_id,fec_id
Frank Pallone Jr.,P000034,H8NJ03073
Frank Pallone Jr.,P000034,S6NJ00263
Bill Pascrell Jr.,P000096,H6NJ08118
Rand Paul,P000603,S0KY00156
Erik Paulsen,P000594,H8MN03077
Stevan Pearce,P000588,H2NM02126
Stevan Pearce,P000588,S0NM00041
Nancy Pelosi,P000197,H8CA05035
Ed Perlmutter,P000593,H6CO07023
Gary Peters,P000595,H8MI09068
Collin C. Peterson,P000258,H2MN07014
Pedro R. Pierluisi,P000596,H8PR00062
Chellie Pingree,P000597,H8ME01120
Chellie Pingree,P000597,S0ME00038
Joseph R. Pitts,P000373,H6PA16197
Ted Poe,P000592,H4TX02108
Jared Polis,P000598,H8CO02137
Mike Pompeo,P000602,H0KS04051
Rob Portman,P000449,S0OH00133
Rob Portman,P000449,H4OH02032
Bill Posey,P000599,H8FL15107
David E. Price,P000523,H6NC04037
Tom Price,P000591,H4GA06087
Mike Quigley,Q000023,H0IL05096
Charles B. Rangel,R000053,H6NY19029
Tom Reed,R000585,H0NY29054
David G. Reichert,R000578,H4WA08071
Harry Reid,R000146,S6NV00028
James B. Renacci,R000586,H0OH16097
Reid J. Ribble,R000587,H0WI08075
Cedric L. Richmond,R000588,H8LA02054
E. Scott Rigell,R000589,H0VA02084
Martha Roby,R000591,H0AL02087
David P. Roe,R000582,H6TN01388
Harold Rogers,R000395,H0KY05015
Mike Rogers,R000575,H2AL03032
Dana Rohrabacher,R000409,H8CA42061
Todd Rokita,R000592,H0IN04170
Thomas J. Rooney,R000583,H8FL16022
Ileana Ros-Lehtinen,R000435,H0FL18025
Peter J. Roskam,R000580,H6IL06117
Peter J. Roskam,R000580,H8IL13051
Dennis A. Ross,R000593,H0FL12101
Lucille Roybal-Allard,R000486,H2CA33048
Edward R. Royce,R000487,H6CA39020
Marco Rubio,R000595,S0FL00338
C. A. Dutch Ruppersberger,R000576,H2MD02160
Bobby L. Rush,R000515,H2IL01042
Paul Ryan,R000570,H8WI01024
Tim Ryan,R000577,H2OH17109
Gregorio Kilili Camacho Sablan,S001177,H8MP00041
Loretta Sanchez,S000030,H6CA46033
John P. Sarbanes,S001168,H6MD03292
Steve Scalise,S001176,H0LA01087
Janice D. Schakowsky,S001145,H8IL09067
Adam B. Schiff,S001150,H0CA27085
Kurt Schrader,S001180,H8OR05107
Charles E. Schumer,S000148,S8NY00082
Charles E. Schumer,S000148,H0NY16010
David Schweikert,S001183,H4AZ06045
David Schweikert,S001183,H8AZ05097
Austin Scott,S001189,H0GA08099
David Scott,S001157,H2GA13012
